Label,Monthly economic survey in services - Past trend of activity - All services activities - SA series,Consumer price index - Base 2015 - All households - France - Food,Consumer price index - Base 2015 - All households - France - Energy,Monthly economic survey in services - Expected trend of demand - All services activities - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of global order books (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Utilisation rate of production capacities in % - Overall - SA series,Consumer price index - Base 2015 - All households - France - Manufactured products,Monthly economic outlook survey in the building industry - Past trend in the workforce - Overall - SA series,Consumer price index - Base 2015 - All households - France - Services,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Expected trend in production (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of foreign order books (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Level of stocks of manufactured products (balance of opinion) - SA series,Monthly economic outlook survey in the building industry - Trend of expected activity - Overall - SA series,"SA-WDA industrial production index (base 100 in 2015) - Manufacturing (NAF rev. 2, level A10, item CZ)",Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - General outlook - Probable trend in industrial production volume (balance of opinion) - SA series,Monthly business survey in goods-producing industries - Manufacturing industry - Past trend in production (balance of opinion) - SA series,Monthly economic survey in services - Expected trend of activity - All services activities - SA series,Business climate summary indicator - All sectors - Metropolitan France,Employment climate summary indicator - All sectors - Metropolitan France
1997-09-30,2.1,74.39,60.54333333333333,-0.3,-6.133333333333334,86.03333333333335,100.55666666666667,-17.0,72.01333333333334,-19.033333333333335,13.033333333333333,10.933333333333332,10.9,-20.766666666666666,100.35666666666667,-46.06666666666666,7.433333333333334,15.066666666666668,2.0,101.83333333333333,99.5
1997-12-31,4.6,74.95333333333333,61.1,1.2,-1.6666666666666667,86.33333333333333,101.07333333333332,-18.933333333333334,71.78666666666668,-7.0,15.433333333333332,15.1,8.666666666666666,-10.066666666666668,102.00666666666666,-39.96666666666667,21.0,20.400000000000002,2.0,105.76666666666667,100.8
1998-03-31,7.0,75.08,60.593333333333334,4.0,4.5,86.93333333333334,100.53333333333335,-14.9,72.17666666666666,0.8333333333333334,17.066666666666666,12.433333333333332,10.266666666666667,-3.3000000000000003,102.64999999999999,-34.699999999999996,23.900000000000002,22.333333333333332,7.7,109.46666666666665,103.8
1998-06-30,5.4,75.98333333333333,59.410000000000004,8.8,7.766666666666667,87.23333333333333,101.19333333333333,-7.833333333333333,72.55333333333334,8.066666666666666,17.833333333333332,9.966666666666667,10.200000000000001,0.6333333333333332,103.81666666666666,-27.7,28.933333333333334,23.2,11.1,111.63333333333333,107.63333333333333
1998-09-30,10.9,75.61,58.38666666666666,4.2,6.433333333333334,87.63333333333333,100.47000000000001,-0.5333333333333334,72.90333333333332,18.266666666666666,13.133333333333333,8.233333333333333,7.3,6.333333333333333,103.78666666666668,-13.033333333333331,22.599999999999998,17.966666666666665,9.6,110.33333333333333,107.90000000000002
1998-12-31,9.4,75.42,58.15,2.8,-7.666666666666667,86.53333333333335,100.85333333333334,-0.7666666666666666,72.72666666666667,10.866666666666667,2.733333333333333,-7.8,13.333333333333334,-2.6666666666666665,103.66000000000001,-24.166666666666668,-3.033333333333333,14.533333333333333,7.3,102.86666666666667,105.0
1999-03-31,7.4,76.06666666666666,57.45333333333334,-1.5,-11.166666666666666,87.63333333333333,100.12666666666667,0.4000000000000001,72.99333333333334,15.066666666666668,1.4000000000000001,-14.933333333333332,17.0,2.733333333333333,103.64333333333333,-19.766666666666666,-13.466666666666667,4.566666666666666,1.2,101.60000000000001,104.93333333333334
1999-06-30,0.1,76.35000000000001,58.39333333333334,1.6,-16.599999999999998,88.63333333333333,100.74333333333334,0.6333333333333333,73.39999999999999,18.666666666666668,7.933333333333334,-14.700000000000001,13.833333333333334,15.799999999999999,105.35666666666667,-7.933333333333334,-11.566666666666668,0.1333333333333333,3.8,104.5,107.46666666666665
1999-09-30,10.1,75.45666666666666,59.82666666666666,4.0,-1.7333333333333334,88.39999999999999,99.95333333333333,12.4,73.67999999999999,24.099999999999998,15.566666666666668,-1.0333333333333332,8.0,17.866666666666664,106.07333333333334,1.5666666666666667,15.066666666666665,11.366666666666667,8.9,110.93333333333334,111.0
1999-12-31,12.4,76.06333333333333,62.01666666666667,14.2,9.6,89.76666666666667,100.47666666666667,17.2,73.38333333333333,29.833333333333332,17.666666666666668,6.966666666666666,4.633333333333334,20.766666666666666,108.64999999999999,9.566666666666666,34.36666666666667,17.566666666666666,15.2,118.53333333333335,116.39999999999999
