,Label,Consumer price index - Base 2015 - All households - France - Energy,Codes
441,2006-10,79.93,A
442,2006-11,79.51,A
443,2006-12,79.58,A
444,2007-01,79.03,A
445,2007-02,79.2,A
446,2007-03,80.43,A
447,2007-04,81.74,A
448,2007-05,82.67,A
449,2007-06,83.1,A
450,2007-07,83.43,A
451,2007-08,82.98,A
452,2007-09,83.51,A
453,2007-10,84.1,A
454,2007-11,87.59,A
455,2007-12,88.04,A
456,2008-01,88.75,A
457,2008-02,88.25,A
458,2008-03,90.62,A
459,2008-04,91.57,A
460,2008-05,95.37,A
461,2008-06,98.72,A
462,2008-07,98.9,A
463,2008-08,95.68,A
464,2008-09,95.35,A
465,2008-10,91.78,A
466,2008-11,86.74,A
467,2008-12,81.86,A
468,2009-01,80.08,A
469,2009-02,80.52,A
470,2009-03,78.91,A
471,2009-04,78.9,A
472,2009-05,79.05,A
473,2009-06,81.55,A
474,2009-07,80.77,A
475,2009-08,82.3,A
476,2009-09,81.69,A
477,2009-10,81.5,A
478,2009-11,83.08,A
479,2009-12,82.77,A
480,2010-01,84.9,A
481,2010-02,84.91,A
482,2010-03,86.68,A
483,2010-04,89.04,A
484,2010-05,89.81,A
485,2010-06,89.23,A
486,2010-07,89.24,A
487,2010-08,89.23,A
488,2010-09,89.69,A
489,2010-10,90.53,A
490,2010-11,91.4,A
491,2010-12,93.15,A
492,2011-01,96.56,A
493,2011-02,97.61,A
494,2011-03,99.98,A
495,2011-04,101.24,A
496,2011-05,99.97,A
497,2011-06,99.46,A
498,2011-07,99.45,A
499,2011-08,99.85,A
500,2011-09,100.56,A
501,2011-10,100.69,A
502,2011-11,101.87,A
503,2011-12,101.79,A
504,2012-01,104.18,A
505,2012-02,105.26,A
506,2012-03,106.47,A
507,2012-04,106.61,A
508,2012-05,104.97,A
509,2012-06,102.78,A
510,2012-07,103.02,A
511,2012-08,106.72,A
512,2012-09,106.41,A
513,2012-10,105.85,A
514,2012-11,104.61,A
515,2012-12,104.4,A
516,2013-01,106.25,A
517,2013-02,107.8,A
518,2013-03,107.59,A
519,2013-04,106.4,A
520,2013-05,104.53,A
521,2013-06,104.55,A
522,2013-07,104.88,A
523,2013-08,106.37,A
524,2013-09,107.2,A
525,2013-10,105.39,A
526,2013-11,104.73,A
527,2013-12,105.5,A
528,2014-01,106.39,A
529,2014-02,106.53,A
530,2014-03,105.86,A
531,2014-04,105.69,A
532,2014-05,105.63,A
533,2014-06,105.58,A
534,2014-07,105.65,A
535,2014-08,104.79,A
536,2014-09,104.56,A
537,2014-10,104.16,A
538,2014-11,103.56,A
539,2014-12,100.9,A
540,2015-01,98.81,A
541,2015-02,100.91,A
542,2015-03,101.91,A
543,2015-04,102.11,A
544,2015-05,103.09,A
545,2015-06,102.6,A
546,2015-07,101.37,A
547,2015-08,99.47,A
548,2015-09,98.43,A
549,2015-10,97.81,A
550,2015-11,97.35,A
551,2015-12,96.15,A
552,2016-01,95.02,A
553,2016-02,94.06,A
554,2016-03,94.89,A
555,2016-04,95.18,A
556,2016-05,97.24,A
557,2016-06,99.39,A
558,2016-07,98.07,A
559,2016-08,96.5,A
560,2016-09,97.31,A
561,2016-10,98.53,A
562,2016-11,99.42,A
563,2016-12,100.3,A
564,2017-01,104.8,A
565,2017-02,104.79,A
566,2017-03,104.27,A
567,2017-04,103.99,A
568,2017-05,102.42,A
569,2017-06,101.27,A
570,2017-07,99.95,A
571,2017-08,101.15,A
572,2017-09,102.23,A
573,2017-10,103.22,A
574,2017-11,104.83,A
575,2017-12,105.33,A
576,2018-01,110.26,A
577,2018-02,110.27,A
578,2018-03,109.5,A
579,2018-04,110.54,A
580,2018-05,112.71,A
581,2018-06,113.68,A
582,2018-07,114.23,A
583,2018-08,114.26,A
584,2018-09,115.32,A
585,2018-10,117.42,A
586,2018-11,116.58,A
587,2018-12,113.77,A
588,2019-01,112.35,A
589,2019-02,113.85,A
590,2019-03,115.12,A
591,2019-04,115.85,A
592,2019-05,116.56,A
593,2019-06,116.39,A
594,2019-07,115.13,A
595,2019-08,115.12,A
596,2019-09,115.51,A
597,2019-10,115.52,A
598,2019-11,115.84,A
599,2019-12,116.76,A
600,2020-01,117.35,A
601,2020-02,115.06,A
602,2020-03,110.55,A
603,2020-04,105.94,A
604,2020-05,103.73,A
605,2020-06,105.59,A
606,2020-07,106.62,A
607,2020-08,106.98,A
608,2020-09,106.26,A
609,2020-10,106.5,A
610,2020-11,106.84,A
611,2020-12,108.64,A
612,2021-01,110.49,A
613,2021-02,113.24,A
614,2021-03,115.73,A
615,2021-04,115.23,A
616,2021-05,115.86,A
617,2021-06,117.15,A
618,2021-07,119.77,A
619,2021-08,120.52,A
620,2021-09,122.14,A
621,2021-10,128.0,A
622,2021-11,129.93,A
623,2021-12,128.74,A
624,2022-01,132.43,A
625,2022-02,137.19,A
626,2022-03,149.55,A
627,2022-04,145.77,A
628,2022-05,148.11,A
629,2022-06,155.87,A
630,2022-07,153.9,A
631,2022-08,147.93,A
632,2022-09,144.03,A
633,2022-10,152.44,A
634,2022-11,153.78,A
635,2022-12,148.24,A
