,Label,Monthly economic outlook survey in the building industry - Trend of past activity - Overall - SA series,Codes
554,2016-03,-14.1,A
555,2016-04,-13.6,A
556,2016-05,-8.1,A
557,2016-06,-8.6,A
558,2016-07,-9.8,A
559,2016-08,-6.7,A
560,2016-09,-6.1,A
561,2016-10,-0.4,A
562,2016-11,0.6,A
563,2016-12,-5.5,A
564,2017-01,5.8,A
565,2017-02,-1.5,A
566,2017-03,-1.9,A
567,2017-04,-6.9,A
568,2017-05,4.5,A
569,2017-06,11.2,A
570,2017-07,4.8,A
571,2017-08,2.3,A
572,2017-09,8.9,A
573,2017-10,5.2,A
574,2017-11,9.6,A
575,2017-12,13.6,A
576,2018-01,14.8,A
577,2018-02,13.7,A
578,2018-03,12.9,A
579,2018-04,10.3,A
580,2018-05,6.3,A
581,2018-06,5.1,A
582,2018-07,7.7,A
583,2018-08,9.3,A
584,2018-09,2.8,A
585,2018-10,3.7,A
586,2018-11,3.7,A
587,2018-12,7.3,A
588,2019-01,7.5,A
589,2019-02,10.0,A
590,2019-03,11.4,A
591,2019-04,11.1,A
592,2019-05,6.5,A
593,2019-06,9.6,A
594,2019-07,12.6,A
595,2019-08,10.1,A
596,2019-09,12.8,A
597,2019-10,12.8,A
598,2019-11,11.7,A
599,2019-12,9.6,A
600,2020-01,9.2,A
601,2020-02,11.7,A
602,2020-03,17.8,U
603,2020-04,-21.8,U
604,2020-05,-78.1,U
605,2020-06,-78.8,U
606,2020-07,-60.0,U
607,2020-08,-20.9,U
608,2020-09,-4.1,A
609,2020-10,8.1,A
610,2020-11,0.2,U
611,2020-12,-1.5,U
612,2021-01,-2.1,A
613,2021-02,-3.1,A
614,2021-03,2.7,A
615,2021-04,7.7,A
616,2021-05,5.4,A
617,2021-06,16.0,A
618,2021-07,14.6,A
619,2021-08,12.9,A
620,2021-09,11.1,A
621,2021-10,7.3,A
622,2021-11,9.8,A
623,2021-12,11.2,A
624,2022-01,3.8,A
625,2022-02,7.2,A
626,2022-03,12.2,A
627,2022-04,13.4,A
628,2022-05,1.1,A
629,2022-06,9.8,A
630,2022-07,6.8,A
631,2022-08,5.3,A
632,2022-09,4.1,A
633,2022-10,7.4,A
634,2022-11,3.9,A
635,2022-12,7.3,A
