Label,Monthly economic outlook survey in the building industry - Judgment on the order book level - Overall - SA series,Codes
2017-12-01,-12.8,A
2018-01-01,-8.6,A
2018-02-01,-11.9,A
2018-03-01,-12.0,A
2018-04-01,-15.0,A
2018-05-01,-14.7,A
2018-06-01,-9.9,A
2018-07-01,-9.1,A
2018-08-01,-8.8,A
2018-09-01,-10.8,A
2018-10-01,-13.7,A
2018-11-01,-7.5,A
2018-12-01,-4.1,A
2019-01-01,-3.4,A
2019-02-01,-0.4,A
2019-03-01,0.1,A
2019-04-01,-0.3,A
2019-05-01,0.5,A
2019-06-01,2.6,A
2019-07-01,1.1,A
2019-08-01,2.9,A
2019-09-01,3.7,A
2019-10-01,3.0,A
2019-11-01,4.8,A
2019-12-01,6.8,A
2020-01-01,1.2,A
2020-02-01,2.2,A
2020-03-01,0.6,U
2020-04-01,-25.7,U
2020-05-01,-32.0,U
2020-06-01,-31.3,U
2020-07-01,-23.7,U
2020-08-01,-18.8,U
2020-09-01,-22.7,A
2020-10-01,-23.3,A
2020-11-01,-24.7,U
2020-12-01,-26.0,U
2021-01-01,-19.8,A
2021-02-01,-16.8,A
2021-03-01,-5.2,A
2021-04-01,-3.5,A
2021-05-01,-0.5,A
2021-06-01,2.8,A
2021-07-01,5.4,A
2021-08-01,3.5,A
2021-09-01,5.0,A
2021-10-01,-0.3,A
2021-11-01,3.4,A
2021-12-01,8.0,A
2022-01-01,1.8,A
2022-02-01,1.9,A
2022-03-01,0.1,A
2022-04-01,-1.6,A
2022-05-01,-1.5,A
2022-06-01,-0.3,A
2022-07-01,-1.2,A
2022-08-01,2.1,A
2022-09-01,-4.3,A
2022-10-01,-3.8,A
2022-11-01,-4.5,A
2022-12-01,-3.8,A
