,Foreign_trade_index_Imports_agriculture,CentralGovDebt,domestic_demand_on_GDP_x,domestic_demand_on_GDP_y,Foreign_trade_index_Exports_Food_products,Unemployment,ConsumerPrices,GNI(dollars),LaborParticipation,GDP(dollars)
1998-01-01,,-0.871054020998602,,,,1.5409305380864442,-0.9192152307120642,0.21662645687633783,-0.8507788445110129,0.22215409479620218
1999-01-01,-1.4028729496691255,-1.032611242520333,,,-1.4691961266549998,1.4830965662392872,-0.9501457534822827,0.21685514553720808,-0.21885644443834537,0.21221024267745917
1999-02-01,-1.4167295807934894,,,,-1.5791322877945306,,,,,
1999-03-01,-1.5137259986640361,,0.38016133000440616,0.38016133000440616,-1.5706756600145662,,,,,
1999-04-01,-1.5899374698480362,,,,-1.6298720544743133,,,,,
1999-05-01,-1.7631453589025832,,,,-1.6383286822542766,,,,,
1999-06-01,-1.922496616832766,,-0.09974859002680014,-0.09974859002680013,-1.5622190322346028,,,,,
1999-07-01,-1.9987080880167671,,,,-1.5622190322346028,,,,,
1999-08-01,-1.950209879081494,,,,-1.5960455433544574,,,,,
1999-09-01,-1.8670700923353112,,0.11494795314505528,0.11494795314505529,-1.5960455433544574,,,,,
1999-10-01,-1.9779231413302207,,,,-1.5453057766746747,,,,,
1999-11-01,-2.095704505887313,,,,-1.5622190322346028,,,,,
1999-12-01,-1.7354320966538552,,0.6074870815981355,0.6074870815981355,-1.5283925211147469,,,,,
2000-01-01,-1.7354320966538552,-1.0766686588545458,,,-1.5791322877945306,0.3521235000108157,-0.6411211179620607,0.08439257490943654,-0.32780657594955837,0.08486655983488958
2000-02-01,-1.4098012652313079,,,,-1.5622190322346028,,,,,
2000-03-01,-1.4860127364153082,,0.24965950964504302,0.24965950964504305,-1.5791322877945306,,,,,
2000-04-01,-1.3543747407338522,,,,-1.4776527544349642,,,,,
2000-05-01,-1.3405181096094891,,,,-1.435369615535145,,,,,
2000-06-01,-1.6522923099076736,,0.3338542324575353,0.3338542324575353,-1.4269129877551805,,,,,
2000-07-01,-1.6245790476589457,,,,-1.3592599655154698,,,,,
2000-08-01,-1.818571883400038,,,,-1.3169768266156505,,,,,
2000-09-01,-1.7562170433404016,,0.27912766262941535,0.27912766262941535,-1.2239539210360486,,,,,
2000-10-01,-1.3335897940473067,,,,-1.0971045043365908,,,,,
2000-11-01,-1.2227367450523972,,,,-1.0548213654367715,,,,,
2000-12-01,-0.9109625447542129,,0.056011647176310686,0.05601164717631071,-0.9956249709770244,,,,,
2001-01-01,-1.451371158604399,-1.100968445647457,,,-1.0125382265369522,-0.6824606345220392,-0.6522952924444886,0.09930840120467797,-0.7636154143571641,0.09686836763563725
2001-02-01,-1.3820880029825802,,,,-0.987168343197061,,,,,
2001-03-01,-1.174238536117124,,-0.1628946321361694,-0.16289463213616936,-0.9364285765172772,,,,,
2001-04-01,-0.9871740159382131,,,,-0.87723218205753,,,,,
2001-05-01,-0.7031130778887567,,,,-0.87723218205753,,,,,
2001-06-01,-0.8693926513811211,,0.0896895363013076,0.08968953630130762,-0.8603189264976032,,,,,
2001-07-01,-1.042600540435668,,,,-0.8687755542775666,,,,,
2001-08-01,-1.250450007301124,,,,-0.9195153209573492,,,,,
2001-09-01,-1.1257403271818505,,-0.26813803565178485,-0.26813803565178485,-0.9787117154170965,,,,,
2001-10-01,-1.555295892037127,,,,-0.9195153209573492,,,,,
2001-11-01,-1.673077256594219,,,,-0.8349490431577107,,,,,
2001-12-01,-0.9733173848138491,,-0.10816806230804939,-0.10816806230804937,-0.8264924153777473,,,,,
2002-01-01,-0.7723962335105754,-0.931119887599988,,,-0.9026020653974225,-0.6246266626748881,-0.5739735394377198,0.21111192160887268,-0.2842248608727577,0.2204569827994468
2002-02-01,-0.75161128682403,,,,-0.8941454376174579,,,,,
2002-03-01,-0.619973291142574,,0.15704531455130147,0.1570453145513015,-0.8349490431577107,,,,,
2002-04-01,-1.056457171560032,,,,-0.8856888098374945,,,,,
2002-05-01,-1.2088801139280332,,,,-1.0209948543169156,,,,,
2002-06-01,-1.569152523161491,,-0.1965725212611663,-0.19657252126116628,-1.0040815987569878,,,,,
2002-07-01,-1.5345109453505814,,,,-1.0717346209966996,,,,,
2002-08-01,-1.6245790476589457,,,,-1.0040815987569878,,,,,
2002-09-01,-1.2365933761767611,,-0.04502202019868013,-0.04502202019868011,-1.0125382265369522,,,,,
2002-10-01,-1.250450007301124,,,,-0.9956249709770244,,,,,
2002-11-01,-1.2365933761767611,,,,-0.9617984598571685,,,,,
2002-12-01,-1.1811668516793055,,-0.07869990932367706,-0.07869990932367704,-0.9364285765172772,,,,,
2003-01-01,-1.0703138026843957,-0.8048083355168383,,,-1.0125382265369522,-0.8752397235728407,-0.5264700653928995,0.5546476512772855,1.219306903652832,0.563139242897831
2003-02-01,-0.6615431845156649,,,,-1.0548213654367715,,,,,
2003-03-01,-0.6476865533913019,,0.13178689770755375,0.13178689770755378,-0.9533418320772051,,,,,
2003-04-01,-0.7031130778887567,,,,-1.0717346209966996,,,,,
2003-05-01,-0.7585396023862114,,,,-1.1055611321165542,,,,,
2003-06-01,-1.001030647062577,,-0.2386698826674125,-0.23866988266741246,-1.13938764323641,,,,,
2003-07-01,-1.3058765317985799,,,,-1.0040815987569878,,,,,
2003-08-01,-1.1257403271818505,,,,-1.0717346209966996,,,,,
2003-09-01,-1.0356722248734864,,0.07285059173880912,0.07285059173880913,-1.0379081098768437,,,,,
2003-10-01,-0.8208944424458487,,,,-1.0040815987569878,,,,,
2003-11-01,-1.1188120116196691,,,,-0.987168343197061,,,,,
2003-12-01,-1.2296650606145787,,0.0012850773481906466,0.0012850773481906652,-0.9026020653974225,,,,,
2004-01-01,-1.1188120116196691,-0.7557983866234232,,,-1.0209948543169156,-0.48968093264146384,-0.5146342275532447,0.8278835919439677,0.870661495399292,0.8378643472839846
2004-02-01,-1.1257403271818505,,,,-0.9787117154170965,,,,,
2004-03-01,-0.8693926513811211,,0.2664984542075415,0.2664984542075415,-0.987168343197061,,,,,
2004-04-01,-1.0287439093113049,,,,-0.9787117154170965,,,,,
2004-05-01,-0.7308263401374836,,,,-0.9364285765172772,,,,,
2004-06-01,-0.6892564467643928,,0.09389927244193222,0.09389927244193223,-0.9533418320772051,,,,,
2004-07-01,-1.16038190499276,,,,-0.9448852042972418,,,,,
2004-08-01,-1.3613030562960347,,,,-0.9956249709770244,,,,,
2004-09-01,-1.1534535894305784,,0.08547980016068299,0.085479800160683,-0.9195153209573492,,,,,
2004-10-01,-1.2088801139280332,,,,-0.987168343197061,,,,,
2004-11-01,-1.2019517983658519,,,,-1.0379081098768437,,,,,
2004-12-01,-0.8971059136298489,,0.1907232036762984,0.19072320367629841,-1.1563008987963381,,,,,
2005-01-01,-0.9525324381273037,-0.7067933917660058,,,-1.1732141543562649,-0.7595723927083192,-0.622150794505389,0.9114164584164112,0.8488747940419125,0.9150742988119523
2005-02-01,-0.5853317133316647,,,,-1.2154972932560841,,,,,
2005-03-01,-0.31512740640657116,,0.04338243875443683,0.04338243875443685,-1.1478442710163734,,,,,
2005-04-01,-1.1118836960574867,,,,-1.2408671765959767,,,,,
2005-05-01,-0.7031130778887567,,,,-1.232410548816012,,,,,
2005-06-01,-0.8208944424458487,,-0.1165875345892986,-0.11658753458929859,-1.1224743876764822,,,,,
2005-07-01,-1.1118836960574867,,,,-1.1816707821362293,,,,,
2005-08-01,-0.9248191758785769,,,,-1.2070406654761208,,,,,
2005-09-01,-0.8693926513811211,,0.07285059173880912,0.07285059173880913,-1.1478442710163734,,,,,
2005-10-01,-0.883249282505485,,,,-1.1224743876764822,,,,,
2005-11-01,-0.9178908603163943,,,,-1.1055611321165542,,,,,
2005-12-01,-0.7862528646349394,,0.20756214823879687,0.2075621482387969,-1.080191248776663,,,,,
2006-01-01,-0.75161128682403,-0.941351114647541,,,-1.0548213654367715,-0.7852763121037397,-0.6413478059673113,1.0406408227036488,0.6527612323766337,1.0385020718556457
2006-02-01,-0.6407582378291194,,,,-1.0379081098768437,,,,,
2006-03-01,-0.7308263401374836,,-0.04081228405805551,-0.04081228405805549,-1.1140177598965189,,,,,
2006-04-01,-0.9525324381273037,,,,-1.0632779932167349,,,,,
2006-05-01,-0.6961847623265742,,,,-1.0886478765566263,,,,,
